group,psc,psc_desc,psc_category
58,5850,Visible and Invisible Light Communication Equipment,Visible
74,7460,Visible Record Equipment,Visible
41,4150,Vortex Tubes and Other Related Cooling Tubes,Vortex
56,5640,Wallboard,Building Paper
39,3930,Warehouse Trucks and Tractors,Self- Propelled
45,4540,Waste Disposal Equipment,Waste
46,4620,Water Distillation Equipment,Marine and Industrial
46,4610,Water Purification Equipment,Water
28,2830,Water Turbines and Water Wheels; and Components,Water
49,4933,Weapons Maintenance and Repair Shop Specialized Equipment,Weapons
25,2541,Weapons Systems Specific Vehicular Accessories,Weapons
34,3436,Welding Positioners and Manipulators Includes,Welding
39,3950,Winches,Hoists
61,6145,Wire and Cable,Electrical
34,3447,Wire and Metal Ribbon Forming Machines,Wire
95,9505,Wire,Nonelectrical
95,9525,Wire,Nonelectrical
32,3220,Woodworking Machines,Woodworking
35,3540,Wrapping and Packaging Machinery,Wrapping
83,8310,Yarn and Thread,Yarn
